ID,Trait Name,Trait Name ID,Custom Trait Name,Trait Description,Description ID,Custom Trait Description,Type,Repeatable,Length,EventTrigger,Requirement,Probability,Evolves Into,Opposites,Removes Traits,Triggers,TriggersEnd,Shown,All Stats,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Special Case,Special Case Text,Special Case Description,Marketability,Morale,Mechanic,Teammate,Chairman,Improveability,Potential,Fuel Burn,Tyre Wear,Desired Wins,Desired Earnings,Patience
263,Munich Expert,PSG_10009039,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,263,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Munich,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
264,Cape Town Expert,PSG_10009040,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,264,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,CapeTown,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
265,Doha Expert,PSG_10009041,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,265,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Doha,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
266,Milan Expert,PSG_10009042,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,266,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Milan,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
267,Singapore Expert,PSG_10009043,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,267,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Singapore,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
268,Beijing Expert,PSG_10009044,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,268,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Beijing,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
269,Dubai Expert,PSG_10009045,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,269,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Dubai,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
270,Tondela Expert,PSG_10009046,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,270,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Tondela,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
271,Rio De Janeiro Expert,PSG_10009047,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,271,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,RioDeJaneiro,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
272,Black Sea Expert,PSG_10009048,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,272,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,BlackSea,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
273,Sydney Expert,PSG_10009049,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,273,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Sydney,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
274,Vancouver Expert,PSG_10009050,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,274,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Vancouver,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
275,Reigning {Tier1} Champion,PSG_10011083,,Oh...wow...the <i>pinnacle</i> of motorsport...and I won it...,PSG_20001054,"Oh...wow...the <i>pinnacle</i> of motorsport...and I won it...",Temp,Yes,55,PostRace,WonChampionship = True; Tier = 1,100,1336,,275,Source = DCChampion,,PlayerDriverOnly,,,,,,,,,,,,,,100,50,60,-40,30,5,45,,,,1500,
276,Reigning {Tier2} Champion,PSG_10011085,,Time for the big league!,PSG_20001053,"Time for the big league!",Temp,Yes,55,PostRace,WonChampionship = True; Tier = 2,100,1335,,276,Source = DCChampion,,PlayerDriverOnly,,,,,,,,,,,,,,75,50,45,-30,25,5,30,,,,800,
277,Reigning {Tier3} Champion,PSG_10011086,,The first step to greatness...,PSG_20001052,"The first step to greatness...",Temp,Yes,55,PostRace,WonChampionship = True; Tier = 3,100,1334,,277,Source = DCChampion,,PlayerDriverOnly,,,,,,,,,,,,,,50,50,30,-20,20,5,25,,,,250,
278,Mentor,PSG_10011384,,I live to teach.,PSG_10011397,,Permanent,,,,"AtPeak = True
",35,,279,278,Source = Mentor,,PlayerDriverOnly,,,,,,,,,,,MentorImproveabilityBoost,Helps teammates to improve faster.,PSG_10011410,,,,,,,,,,,,
279,Resource Hog,PSG_10011385,,Im the boss around here!,PSG_10011398,,Permanent,,,,"AtPeak = True
",35,,278,279,Source = ResourceHog,,PlayerDriverOnly,,,,,,,,,,,MentorImproveabilityDebuff,Teammates will not improve as quickly.,PSG_10011411,,,,,,,,,,,,
280,Inflated Ego,PSG_10011374,,Youre lucky to have a guy like me!,PSG_10011375,,Temp,,13-26,PostRace,ConsecutiveWins > 2,35,,,280,Source = InflatedEgo,,PlayerDriverOnly,,,,,,,,,,,,,,25,30,-35,-15,-15,,,,,,500,
281,Offended,PSG_10011376,,How <i>dare</i> you!,PSG_10011377,,Temp,,30-60,,,,,,281;282,Source = Offended,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
282,Buttered Up,PSG_10011378,,You sure know how to make a guy feel special!,PSG_10011379,,Temp,,30-60,,,,,,282;281,Source = ButteredUp,,,,,,,,,,,,,,,,,,,,,,,,,,,2
283,Hates Authority,PSG_10011386,,Stick it to the man!,PSG_10011399,,Permanent,,,,,,,,283,,,,,,,,,,,,,,,,,,,,,-35,,,,,,,
284,Spendthrift,PSG_10011387,,Whats the point in making money if you cant spend it!,PSG_10011400,,Permanent,,,,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,250,
285,Fight With Fans,PSG_10011380,,"They <i>worship</i> me, theyll come back...",PSG_10011381,,Temp,,14-32,PostRace,BadResult = True,10,,,285,Source = FightWithFans,,PlayerDriverOnly,,,,,,,,,,,,,,-100,,,,,,,,,,,
286,Controversial,PSG_10011388,,Race sprinklers are the way forward!,PSG_10011401,,Permanent,,,,,,,,286,,,,,,,,,,,,,,,,,45,,,,-30,,,,,,,
287,Hothead,PSG_10011389,,AARRRGGHH!,PSG_10011402,,Permanent,,,,,,,,287,,,,,,,,,2,,,,,-1,,,,10,,-25,,,,,,,,
288,Hedonist,PSG_10011390,,Lets have a good time!,PSG_10011403,,Permanent,,,,,,,,288,,,,,,,,,,,,,-4,,,,15,25,,,-25,-5,,,,,,
289,Media Trained,PSG_10011391,,Thats a great question! Which Im afraid I cant answer.,PSG_10011404,,Permanent,,,,,,,3; 290,289; 290;3,,,,,,,,,,,,,,,,,30,,,,15,,,,,,,
290,Dull Interviewee,PSG_10011392,,"I just want to thank the team, the fans, the car, the stewards...",PSG_10011405,,Permanent,,,,,,,289,290,,,,,,,,,,,,,,,,,-40,,,,,,,,,,,
291,Dangerous Dueler,PSG_10011393,,Excuse me! Coming through!,PSG_10011406,,Permanent,,,,,,,,291,,,,,,,,-3,,,,,-5,OneOnOne,Only applies when there is exactly 1 other car within 1 second of the driver on track.,PSG_10009840,,,,,,,,,,,,
292,Complacent,PSG_10011382,,Life is pretty great as the backup!,PSG_10011383,,Temp,,20,PostRace,ReserveDriver = True; RacesSinceLastDrive > 4,25,,5; 16; 26,292,Source = Complacent,,PlayerDriverOnly,-3,,,,,,,,,,,,,,,,,,-40,,,,,,
293,Single Seater Expert,PSG_10011394,,Single Seaters are in my blood!,PSG_10011407,,Permanent,,,,CategoryPreference = SingleSeater,,,,293,,,,4,,,,,,,,,,SingleSeaters,Only applies when driving in Single Seaters.,PSG_10011414,,,,,,,,,,,300,
294,GT Expert,PSG_10011395,,GT is in my blood!,PSG_10011408,,Permanent,,,,CategoryPreference = GT,,,,294,,,,4,,,,,,,,,,GTSeries,Only applies when driving in GT Series.,PSG_10011415,,,,,,,,,,,300,
295,Hidden Potential,PSG_10011396,,Im using parts of my brain I never knew I had!,PSG_10011409,,Permanent,,,,AtPeak = False,10,,,295,Source = HiddenPotential,,PlayerDriverOnly,,,,,,,,,,,,,,,,,,,,50,,,,,
296,Shock Retirement,PSG_10011772,,Ive achieved all that I want to. Bye!,PSG_10011773,,Temp,,1,PostRace,WonChampionship = True; Age > 24; Tier = 1,2,,,296,Source = ShockRetirement,,,,,,,,,,,,,ShockRetirement,Driver will retire very soon.,PSG_10011774,,,,,,,,,,,,
297,Enthusiastic,PSG_10001356,,I cant wait to get to work every day!,PSG_10002622,,Permanent,,,,,,,17,297,,,,,,,,,,,,,4,,,,,,,,10,,10,,,,-100,
298,Schmoozer,PSG_10012229,,Ive got Ernie on speed dial.,PSG_10012230,,Permanent,,,,,,,,298,,,,,,,,,,,,,,ExtraVotePowerPerSeason,Driver provides +1 voting power per season.,PSG_10012235,,,,,,,,,,,,
299,Publicity Pawn,PSG_10012211,,I must remember to <i>smile</i> when talking to press...,PSG_10012212,,Temp,,12-30,,DilemmaBased,,302,,299,,,PlayerDriverOnly,,,,,,,,,,,,,,40,-10,,,,,,,,,,
300,Reigning {Tier1GT} Champion,PSG_10012171,,I drove <i>so far</i> to get here.,PSG_20001055,"I drove <i>so far</i> to get here.",Temp,Yes,55,PostRace,WonChampionship = True; TierGT = 1,100,1338,,300,Source = DCChampion,,PlayerDriverOnly,,,,,,,,,,,,,,80,50,50,-35,30,5,35,,,,1000,
301,Reigning {Tier2GT} Champion,PSG_10012172,,The first step to greatness...,PSG_20001052,"The first step to greatness...",Temp,Yes,55,PostRace,WonChampionship = True; TierGT = 2,100,1337,,301,Source = DCChampion,,PlayerDriverOnly,,,,,,,,,,,,,,40,50,25,-15,15,5,20,,,,400,
302,Media Puppet,PSG_10012213,,"The plastic surgery hurt, but Mr. Hecklerock says it does wonders for my smile...",PSG_10012214,,Temp,,10-25,,Trait = 299,80,303,,302,Source = MediaPuppet,,PlayerDriverOnly,,,,,,,,,,,,,,65,-15,,,,-15,,,,,,
303,Sick of the Spotlight,PSG_10012215,,That was one colonic irrigation too far... Im out.,PSG_10012216,,Temp,,1,,Trait = 302,50,,,303,Source = SickOfSpotlight,,PlayerDriverOnly,,,,,,,,,,,ShockRetirement,Driver will retire very soon.,PSG_10011774,100,,,,,,,,,,,
304,Fitness Courses,PSG_10012237,,Time to dust off the dumbbells!,PSG_10012238,,Temp,,2-12,,DilemmaBased,,305,,304,,,PlayerDriverOnly,,,,,,,,2,,,,,,,,,,,5,,,,,,
305,Gym Rat,PSG_10012239,,I think my biceps are getting too big for the cockpit...,PSG_10012240,,Temp,,20-84,,Trait = 304,80,306; 307,,305,Source = GymRat,,PlayerDriverOnly,,,,,,,,8,,,,,,,,,,,10,,,,,,
306,Steroid Abuse,PSG_10012241,,"Muscles are <i>supposed</i> to deflate... Theyre just resting, I swear!",PSG_10012242,,Permanent,,,,Trait = 305,30,,307,306,Source = Steroids,,PlayerDriverOnly,,,,,,,,-5,,,,,,,-5,,,,,,,,,,
307,Fitness Guru,PSG_10012243,,I push my body like I push the car: to its absolute limit!,PSG_10012244,,Permanent,,,,Trait = 305,50,,306,307,Source = FitnessGuru,,PlayerDriverOnly,,,,,,,,12,,,,,,,,,,,15,,,,,,
308,Severe Burns,PSG_10012231,,Need...Time...To...Heal...,PSG_10012232,,Temp,,3,,DesignInput,,,,308,Source = WexlersMessage,Source = WexlerHealed,PlayerDriverOnly,-20,,,,,,,,,,InjuryBurns,,,100,,,,,-50,,,,,,
309,Chairman's Pet,PSG_10012233,,"Daddys so good to me, he even lets me fly the family blimp!",PSG_10012234,,Permanent,,,,DesignInput,,,,309,,,PlayerDriverOnly,,,,,,,,,,,ChairmansHappinessMirrorsDriver,Driver's morale heavily influnces the chairman's happiness.,PSG_10012236,10,,-10,-10,,,,,,,,
310,Open to Endurance Racing,PSG_10013121,,"I've always wanted to give Endurance a go...""""",PSG_10013122,,Permanent,,,,Tier = 1; ReachedPeak = True; CategoryPreference = SingleSeater,10,,,310,Source = OpenToEndurance,,,,,,,,,,,,,AddEnduranceRacing,This driver can now be hired into the Endurance series.,PSG_10013572,,,,,,,,,,,,
311,Open to GT Racing,PSG_10013123,,"I've always wanted to give GT a go...""""",PSG_10013124,,Permanent,,,,Tier = 1; ReachedPeak = True; CategoryPreference = SingleSeater,10,,,311,Source = OpenToGT,,,,,,,,,,,,,AddGTRacing,This driver can now be hired into the GT series.,PSG_10013573,,,,,,,,,,,,
312,Zoned In,PSG_10013125,,"I feel like I could take on the world!""""",PSG_10013126,,Temp,,5,,PlayerSeries = EnduranceSeries,15,,,312,Source = ZonedIn,,PlayerDriverOnly,,,,,,,,,,,IncreaseOptimalZone,Driver's Optimal Zone is increased by 10%.,PSG_10013574,,,,,,,,,,,,
313,Rogue in the Zone,PSG_10013127,,"I need silence to work my magic!""""",PSG_10013128,,Permanent,,,,,1,,,313,Source = RogueZone,,PlayerDriverOnly,,,,,,,,,,,RogueInZone,Driver goes rogue when Fired Up.,PSG_10013575,,,,,,,,,,,,
314,In Form,PSG_10013129,,"I feel like today is going to be a good day!""""",PSG_10013130,,Temp,,3,,,15,,315,314,Source = InForm,,PlayerDriverOnly,,,,,,,,,,,InForm,Form is 10 during the race.,PSG_10013576,,,,,,,,,,,,
315,Bad Form,PSG_10013582,,"I'm really not feeling it at the moment.""""",PSG_10013583,,Temp,,3,,,15,,314,315,Source = BadForm,,PlayerDriverOnly,,,,,,,,,,,BadForm,Form is 0 during the race.,PSG_10013577,,,,,,,,,,,,
316,Iron Man,PSG_10013133,,"I feel like I could drive for years!""""",PSG_10013134,,Temp,,1,,,5,,,316,Source = IronMan,,PlayerDriverOnly,,,,,,,,,,,NoMistakesInDangerZone,Driver doesn't make mistakes when their stamina is low.,PSG_10013578,,,,,,,,,,,,
317,Broadened Horizons,PSG_10013135,,"My single seater career isn't going anywhere anyway.""""",PSG_10013136,,Permanent,,,,Tier = 2; Age > 27,20,,,317,Source = BroadenedHorizons,,,,,,,,,,,,,AnySeries,This driver can now be hired into the Endurance and GT series.,PSG_10013579,,,,,,,,,,,-100,
318,Shifting Careers,PSG_10013137,,"Maybe I'll look for somewhere I'm actually appreciated!""""",PSG_10013138,,Permanent,,,,Trait = 164; ReserveDriver = True; RacesSinceLastDrive > 4,35,,,318,Source = ShiftingCareers,,PlayerDriverOnly,,,,,,,,,,,AnySeries,This driver can now be hired into any series.,PSG_10013580,,,,,,,,,,,-100,
319,Triple Crown,PSG_10013139,,"I truly am the greatest of all time!""""",PSG_10013140,,Permanent,,,,WonTopSeriesRace = SingleSeater; WonTopSeriesRace = GT; WonTopSeriesRace = EnduranceSeries,100,,,319,Source = TripleCrown,,,,,,,,,,,,,,"This driver has won WMC, IGT and IEC Races",PSG_10013581,100,,,,,,,,,,500,
320,Doing Fast Food Commercials,PSG_10013141,,"""Say what you want about the calories, but you can't deny these burgers are amazing!""",PSG_10013142,,Temp,,10,,,15,,33,320,Source = FastFoodCommercials,,PlayerDriverOnly,,,,,,,,-5,,,,,,50,,,,,,,,,,,
321,Published a Racing Themed Cook Book,PSG_10013143,,"You will be 'lapping' up my latest dishes!""""",PSG_10013144,,Temp,,15,,,15,,,321,Source = CookBook,,PlayerDriverOnly,,,,,,,,-5,,,,,,25,,,,,,,,,,,
322,Prince,PSG_10013145,,"One day all this will be mine.""""",PSG_10013147,,Permanent,,,,Gender = Male; Nationality = UK||Belgium||Cambodia||Denmark||Japan||Lesotho||Liechtenstein||Luxembourg||Monaco||Morocco||Netherlands||Norway||Spain||Swaziland||Sweden||Thailand,,323; 324,,322,,,,,,,,,,1,,1,-1,,,,75,,,,,,,,,,-250,
323,King,PSG_10013148,,"That's <i>your highness</i> to you!""""",PSG_10013150,,Permanent,,,,Gender = Male; Trait = 324,25,,324,323,Source = King,,,,,,,,,2,,2,-2,,,,100,,,,,,,,,,-500,1
324,Renounced Monarch,PSG_10013151,,"""Racing is my life, I don't need royalty!""",PSG_10013152,,Permanent,,,,Gender = Male; Trait = 324,25,,323,324,Source = RenouncedMonarchMale,,,,,,,,,1,,,2,,,,,,,,,,,,,,,4
325,Princess,PSG_10013146,,"One day all this will be mine.""""",PSG_10013147,,Permanent,,,,Gender = Female; Nationality = UK||Belgium||Cambodia||Denmark||Japan||Lesotho||Liechtenstein||Luxembourg||Monaco||Morocco||Netherlands||Norway||Spain||Swaziland||Sweden||Thailand,,326; 327,,325,,,,,,,,,,1,,1,-1,,,,75,,,,,,,,,,-250,
326,Queen,PSG_10013149,,"That's <i>your highness</i> to you!""""",PSG_10013150,,Permanent,,,,Gender = Female; Trait = 327,25,,327,326,Source = Queen,,,,,,,,,2,,2,-2,,,,100,,,,,,,,,,-500,1
327,Renounced Monarch,PSG_10013151,,"""Racing is my life, I don't need royalty!""",PSG_10013152,,Permanent,,,,Gender = Female; Trait = 327,25,,326,327,Source = RenouncedMonarchFemale,,,,,,,,,1,,,2,,,,,,,,,,,,,,,4
328,Second Degree Burns,PSG_10013771,,"""If you think I look bad, you should see the car!""",PSG_10013772,,Temp,Yes,5,PostRace,CarStatus = RetiredFire,20,,,328,Source = SecondDegreeBurns,Source = Healed,,,,,,,,,-10,,,InjuryBurns,,,,,,,,,,,,,,
329,Traumatised,PSG_10013773,,"The flames... the flames!""""",PSG_10013774,,Temp,Yes,6,PostRace,CarStatus = RetiredFire,20,330,8,329,Source = Traumatised,,,,,,,,,,,,-4,,,,,-15,,,,,,,,,,
330,Fear of Racing,PSG_10013775,,"I... I can't go back out there...""""",PSG_10013776,,Permanent,,,,Trait = 329; Employed = True,10,,8,330,Source = FearOfRacing,,,-1,,,,,,,,,,,,,,,,,,,-50,,,,,1
1233,Racing Touring Cars,PSG_10009029,Racing Touring Cars,"Uh, these guys are pretty aggressive...",PSG_10009063,"Uh, these guys are pretty aggressive...",Temp,,16-32,,,5,34,227; 229; 231,1233,Source = RacingTouringCars,,PlayerDriverOnly,,,,,4,,,,,,,,,10,,,,,,,,,,,
1234,Touring Car Champion,PSG_10009030,Touring Car Champion,Ive learnt a few new moves ,PSG_10009064,"I've learnt a few new moves",Permanent,,,,Trait = 1233,25,,,1234,Source = TouringCarChampion,,PlayerDriverOnly,,,,,6,,,,,,,,,10,,,,,,,,,,,
1278,In Sponser Ad,PSG_20001000,In Sponser Ad,"So, one of our sponsors wants me in their newest ad.",PSG_20001001,"So, one of our sponsors wants me in their newest ad.",Temp,,8,,,2,93,,1278,Source = InSponsorAd,,PlayerDriverOnly,,,,,,,,,,,,,,30,,,,,,,,,,,
1279,Binge Drinker,PSG_20001002,Binge Drinker,"What? No, its not becoming a problem.",PSG_20001003,"What? No, its not becoming a problem.",Temp,,13-26,,Trait = 113,50,1280,,1279,Source = BingeDrinker,,PlayerDriverOnly,,,,,,,,-10,,-10,,,,,,,,,,,,,,,
1280,Alcoholic,PSG_20001004,Alcoholic,Using vodka as a milk substitute is normal.,PSG_20001005,"Using vodka as a milk substitute is normal.",Temp,,30-90,,Trait = 1279,20,,,1280,Source = Alcoholic,,PlayerDriverOnly,-15,,,,,,,,,,,,,-20,-30,-15,,,,,,,,,
1281,Sponsor Friendly,PSG_20001006,Sponsor Friendly,I love doing the adverts.,PSG_20001007,"I love doing the adverts.",Permanent,,,,,,,,1281,,,,,,,,,,,,,,,,,40,,,,,,,,,,,
1282,Facetious,PSG_20001008,Facetious,"Yeah, I was totally gonna crash...",PSG_20001009,"Yeah, I was totally gonna crash...",Permanent,,,,,,,,1282,,,,,,,,,,,,,,,,,,,-35,-15,-10,,,,,,,
1283,Bossy,PSG_20001010,Bossy,"Hey, you! Adjust the wing 5 degrees.",PSG_20001011,"Hey, you! Adjust the wing 5 degrees.",Permanent,,,,,,,,1283,,,,,,,,,,,,,,,,,,,-20,-20,,,,,,,,
1284,Caught Stealing,PSG_20001023,Caught Stealing,What?! I was only borrowing it for an indefinite period of time!,PSG_20001024,"What?! I was only borrowing it for an indefinite period of time!",Temp,,13-26,,,2,1311,1296,1284,Source = CaughtStealing,,PlayerDriverOnly,,,,,,,,,,,,,,-50,,-40,-40,-75,,,,,,,
1285,Calm,PSG_10002050,Calm,Lets all have a nice sit down and a cup of tea...,PSG_10002590,"Lets all have a nice sit down and a cup of tea...",Permanent,,,,,,,1286,1285,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
1286,Cool,PSG_10002062,Cool,"I dont care how I look, or act, or talk. Why bother?",PSG_10002721,"I dont care how I look, or act, or talk. Why bother?",Permanent,,,,,,,1290,1287,,,,,,,,,,,,,,,,,45,,,,,,,,,,,
1287,Hot-headed,PSG_10002051,Hot-headed,Im not here to finish 4th,PSG_10002591,"I'm not here to finish 4th",Permanent,,,,,,,1285,1287,,,,,5,5,-5,5,-5,,,,-5,Race,,PSG_10009825,,,,,,,,,,,,
1288,Charming,PSG_10002067,Charming,People just say yes without me ever having to ask a question.,PSG_10002604,"People just say yes without me ever having to ask a question.",Permanent,,,,,,,1295,1288,,,,,,,,,,,,,,,,,15,,15,,15,,,,,,,
1289,Fan Favourite,PSG_20001012,Fan Favourite,What can I say? My public <i>loves</i> me!,PSG_20001013,"What can I say? My public <i>loves</i> me!",Permanent,,,,,,,,1289,,,,,,,,,,,,,,,,,60,,,,,,,,,,,
1290,Boring,PSG_20001014,Boring,You should see my number plate collection!,PSG_20001015,"You should see my number plate collection!",Permanent,,,,,,,,1290,,,,,,,,,,,,,,,,,-50,,,,,,,,,,,
1291,Airhead,PSG_20001016,Airhead,"Why dont we fly to the Sun at night, when its cold?",PSG_20001017,"Why dont we fly to the Sun at night, when it's cold?",Permanent,,,,,,,,1291,,,,,,,,,,,,-8,,,,,15,,,,,,,,,,,
1292,Angry,PSG_20001018,Angry,Im so damn angry!,PSG_20001019,"I'm so damn angry!",Temp,,6,,Morale < 25,15,210,183,1292,Source = Angry,,PlayerDriverOnly,,,,,,,,,,,,,,,-50,,,,,,,,,,
1293,Rude,PSG_20001020,Rude,You look fat in those overalls,PSG_20001021,"You look fat in those overalls",Permanent,,,,,,,22,1293,,,,,,,,,,,,,,,,,-20,,-20,-20,-20,,,,,,,
1294,Thief Caught,PSG_20001021,Thief Caught,I even got my gloves back!,PSG_20001022,"I even got my gloves back!",Temp,,13-26,,Trait = 187,15,,,1294,Source = ThiefCaught,,PlayerDriverOnly,,,,,,,,,,,,,,,40,,,,,,,,,,
1295,Charmless,PSG_10002068,Charmless,These peons should love me! Every single one!,PSG_10002605,"These peons should love me! Every single one!",Permanent,,,,,,,1288,1295,,,,,,,,,,,,,,,,,-20,,-20,,-20,,,,,,,
1296,Trustworthy,PSG_10003743,Trustworthy,I cannot tell a lie.,PSG_10002608,"I cannot tell a lie.",Permanent,,,,,,,1284; 1311,1296,,,,,,,,,,,,,,,,,,,20,,40,,,,,,,
1297,Amazing Other Half,PSG_10002497,Amazing Other Half,They spotted an issue with the torque mapping!,PSG_10001331,"They spotted an issue with the torque mapping!",Permanent,,,,,,,30,1297,,,,,,,,,,,,,,,,,,,30,,,,,,,,,
1298,Scarred,PSG_10001347,Scarred,"So I scare the children, do I? Gee. Thanks.",PSG_10002617,"So I scare the children, do I? Gee. Thanks.",Permanent,,,,,,,,1298,,,,,,,,,,,,,,,,,-30,-10,,,,,,,,,,
1299,Responding to Dodgy Emails,PSG_10001348,Responding to Dodgy Emails,"This Nigerian guy just emailed me, and I think I'm going to make some serious money!",PSG_10002618,"This Nigerian guy just emailed me, and I think I'm going to make some serious money!",Temp,,8,,Trait = 1291||11,1,1312; 1313,,1299,Source = DodgyEmails,,PlayerDriverOnly,,,,,,,,,,,,,,,,,,,,,,,,,
1301,Enthusiastic,PSG_10001356,Enthusiastic,I cant wait to get to work every day!,PSG_10002622,"I can't wait to get to work every day!",Temp,,13-26,,Trait = 183,25,,182; 1302,1301,Source = Enthusiastic,,PlayerDriverOnly,3,,,,,,,,,,,,,,50,20,,10,,,,,,,
1302,Depressed,PSG_10001364,Depressed,It doesnt get worse than this.,PSG_10002628,"It doesn't get worse than this.",Temp,,13-26,,Trait = 182,25,,183; 1301,1302,Source = Depressed,,PlayerDriverOnly,-4,,,,,,,,,,,,,,-80,,,,,,,,,,
1303,Qualifying Specialist,PSG_10001371,Qualifying Specialist,Going for a hot lap is such an adrenaline rush!,PSG_10002633,"Going for a hot lap is such an adrenaline rush!",Permanent,,,,,,,1304,1303,,,,8,,,,,,,,,,Qualifying,Bonus only applies in Qualifying,PSG_20001026,,,,,,,,,,,,
1304,Poor Qualifier,PSG_10001372,Poor Qualifier,Quali is just luck!,PSG_10002634,"Quali is just luck!",Permanent,,,,,,,1303,1304,,,,-8,,,,,,,,,,Qualifying,Bonus only applies in Qualifying,PSG_20001026,,,,,,,,,,,,
1306,Unflappable,PSG_10001386,Unflappable,"Chill, guys. Its no biggie.",PSG_10003749,"Chill, guys. It's no biggie.",Permanent,,,,,,,1305,1306,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
1307,Tyre Wear King,PSG_10001389,Tyre Wear King,Do you respect rubber? Because I do.,PSG_10002725,"Do you respect rubber? Because I do.",Permanent,,,,,,,1308,1307,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
1308,Tyre Hungry,PSG_10001390,Tyre Hungry,I used to do donuts in supermarket car parks.,PSG_10002726,"I used to do donuts in supermarket car parks.",Permanent,,,,,,,1307,1308,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,
1309,Scarred by Injury,PSG_10001410,Scarred by Injury,Ive never been the same since that crash...,PSG_10002385,"I've never been the same since that crash...",Permanent,,,,Trait = 241||242,2,,1310,1309,Source = ScarredInjury,,PlayerDriverOnly,-2,,,,,,,,,,,,,,-30,,,,,-10,,,,,
1310,Spurred by Injury,PSG_10001411,Spurred by Injury,That crash totally changed my view on life!,PSG_10002386,"That crash totally changed my view on life!",Permanent,,,,Trait = 241||242,2,,1309,1310,Source = SpurredInjury,,PlayerDriverOnly,3,,,,,,,,,,,,,,20,,,,,,,,,,
1311,Dodgy Geezer,PSG_10003744,Dodgy Geezer,"Look pal, my mate can get you a new watch, no trouble...",PSG_10002609,"Look pal, my mate can get you a new watch, no trouble...",Permanent,,,,Trait = 1284,20,,1296,1311,Source = DodgyGeezer,,PlayerDriverOnly,,,,,,,,,,,,,,-20,,-15,-15,-30,,,,,,150,"																															"
1312,Scammed,PSG_20001028,Scammed,I cant believe it...they took every penny...cleaned me out...,PSG_20001029,"I can't believe it...they took every penny...cleaned me out...",Temp,,24-80,,Trait = 1299,99,,,1312,Source = Scammed,,PlayerDriverOnly,,,,,,,,,,,,,,,-75,,,,,,,,,300,
1313,Nigerian Benefactor,PSG_20001030,Nigerian Benefactor,"See, you all told me I'd lose everything! I'M SO RICH I BOUGHT A SUPERYACHT MADE OF SUGAR!",PSG_20001031,"See, you all told me Id lose everything! IM SO RICH I BOUGHT A SUPERYACHT MADE OF SUGAR!",Temp,,16-48,,Trait = 1299,1,,,1313,Source = Nigerian,,PlayerDriverOnly,,,,,,,,,,,,,,,90,,,,,,,,,-300,
1334,Ex-{Tier3} Champion,PSG_20001033,Ex-{Tier3} Champion,...and what a step it was.,PSG_20001057,"...and what a step it was.",Permanent,,,,Trait = 277,100,,,,,,,,,,,,,,,,,,,,20,20,12,-8,10,2,,,,,100,
1335,Ex-{Tier2} Champion,PSG_20001035,Ex-{Tier2} Champion,Just another step on the way to the top!,PSG_20001059,"Just another step on the way to the top!",Permanent,,,,Trait = 276,100,,,,,,,,,,,,,,,,,,,,30,20,18,-12,10,2,,,,,320,
